Year,Month,jobs
2009,Oct,2843.0
2010,Oct,2866.0
2011,Oct,2850.0
2012,Oct,2824.0
2013,Oct,2739.0
2014,Oct,2736.0
2015,Oct,2757.0
2016,Oct,2807.0
2017,Oct,2807.0
1939,Nov,975.0
1940,Nov,1139.0
1941,Nov,1601.0
1942,Nov,2825.0
1943,Nov,3050.0
1944,Nov,3144.0
1945,Nov,2652.0
1946,Nov,2177.0
1947,Nov,1916.0
1948,Nov,2029.0
1949,Nov,1943.0
1950,Nov,2147.0
1951,Nov,2505.0
1952,Nov,2534.0
1953,Nov,2339.0
1954,Nov,2295.0
1955,Nov,2298.0
1956,Nov,2333.0
1957,Nov,2274.0
1958,Nov,2297.0
1959,Nov,2353.0
1960,Nov,2340.0
1961,Nov,2418.0
1962,Nov,2477.0
1963,Nov,2470.0
1964,Nov,2478.0
1965,Nov,2533.0
1966,Nov,2791.0
1967,Nov,2872.0
1968,Nov,2873.0
1969,Nov,2876.0
1970,Nov,2830.0
1971,Nov,2839.0
1972,Nov,2812.0
1973,Nov,2801.0
1974,Nov,2875.0
1975,Nov,2893.0
1976,Nov,2864.0
1977,Nov,2872.0
1978,Nov,2919.0
1979,Nov,2886.0
1980,Nov,2960.0
1981,Nov,2913.0
1982,Nov,2896.0
1983,Nov,2920.0
1984,Nov,2962.0
1985,Nov,3046.0
1986,Nov,3046.0
1987,Nov,3122.0
1988,Nov,3159.0
1989,Nov,3121.0
1990,Nov,3108.0
1991,Nov,3128.0
1992,Nov,3083.0
1993,Nov,3036.0
1994,Nov,2984.0
1995,Nov,2913.0
1996,Nov,2845.0
1997,Nov,2796.0
1998,Nov,2790.0
1999,Nov,2767.0
2000,Nov,2737.0
2001,Nov,2759.0
2002,Nov,2781.0
2003,Nov,2728.0
2004,Nov,2727.0
2005,Nov,2739.0
2006,Nov,2729.0
2007,Nov,2744.0
2008,Nov,2778.0
2009,Nov,2842.0
2010,Nov,2866.0
2011,Nov,2842.0
2012,Nov,2809.0
2013,Nov,2746.0
2014,Nov,2741.0
2015,Nov,2767.0
2016,Nov,2803.0
2017,Nov,2803.0
1939,Dec,977.0
1940,Dec,1149.0
1941,Dec,1606.0
1942,Dec,2799.0
1943,Dec,3045.0
1944,Dec,3138.0
1945,Dec,2566.0
1946,Dec,2163.0
1947,Dec,1948.0
1948,Dec,2049.0
1949,Dec,1974.0
1950,Dec,2190.0
1951,Dec,2532.0
1952,Dec,2582.0
1953,Dec,2310.0
1954,Dec,2296.0
1955,Dec,2283.0
1956,Dec,2335.0
1957,Dec,2331.0
1958,Dec,2356.0
1959,Dec,2407.0
1960,Dec,2403.0
1961,Dec,2428.0
1962,Dec,2433.0
1963,Dec,2445.0
1964,Dec,2467.0
1965,Dec,2548.0
1966,Dec,2799.0
1967,Dec,2876.0
1968,Dec,2849.0
1969,Dec,2861.0
1970,Dec,2824.0
1971,Dec,2824.0
1972,Dec,2812.0
1973,Dec,2813.0
1974,Dec,2874.0
1975,Dec,2897.0
1976,Dec,2850.0
1977,Dec,2870.0
1978,Dec,2899.0
1979,Dec,2886.0
1980,Dec,2961.0
1981,Dec,2907.0
1982,Dec,2896.0
1983,Dec,2923.0
1984,Dec,2964.0
1985,Dec,3051.0
1986,Dec,3051.0
